,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
Danceability,0.07046810142386113,0.009533093423396304,-0.0052670074349880315,0.01974347047685768,0.005805771951921131,0.02425108419114154,-0.02004136595632617,-0.07654805289810049,-0.006427722848175503,0.04606153365732077,0.013902579017498898,-0.007708323845671624,0.00949780007826551
Energy,0.009533093423396304,0.06852413545361355,0.010585920341728646,0.03480620206037268,-0.008937022479156056,0.0075586880655645495,-0.06520108942269597,-0.02258258037220837,0.007699811182174504,0.02369271967659206,0.013180987579950714,-0.0043958996701602485,0.00366080710626785
Key,-0.0052670074349880315,0.010585920341728646,0.09639382797770804,0.0023780317314198475,-0.016040660370557284,-0.006816865558215789,-0.006690727751965425,0.00039907338737743087,-0.0021730990682860677,0.002932810422669745,0.007073718974065627,0.002113066721544761,0.0016935813327565914
Loudness,0.01974347047685768,0.03480620206037268,0.0023780317314198475,0.026710537290424025,-0.0034044205605573883,0.010746956847758225,-0.035038367840112904,-0.03143217722109808,0.002254646327273271,0.016835684742455302,0.010510013649358559,-0.004209463610592761,0.0038320974547339697
Mode,0.005805771951921131,-0.008937022479156056,-0.016040660370557284,-0.0034044205605573883,0.24980174464710542,0.0037544655837687315,-0.004142533992239445,0.013472376523128979,-0.0042963808797633314,0.004731560111602215,-0.004247360225799886,-0.0038035941660482095,-0.006245043616177642
Speechiness,0.02425108419114154,0.0075586880655645495,-0.006816865558215789,0.010746956847758225,0.0037544655837687315,0.05526781713630208,-0.006041413390094467,-0.028831872060155347,-0.0002768017217995218,0.01203812446090274,0.017291476568872373,-0.011397955182144192,0.003722260378356782
Acousticness,-0.02004136595632617,-0.06520108942269597,-0.006690727751965425,-0.035038367840112904,-0.004142533992239445,-0.006041413390094467,0.10393829122542099,0.03390345821733167,-0.008029566048486569,-0.028667914530547848,-0.019269625497381798,0.0055856271744207,-0.005171931563387163
Instrumentalness,-0.07654805289810049,-0.02258258037220837,0.00039907338737743087,-0.03143217722109808,0.013472376523128979,-0.028831872060155347,0.03390345821733167,0.12766499335242062,0.003517638407673986,-0.057935949014846215,-0.025072742206663546,0.011136273806846972,-0.01512634748727879
Liveness,-0.006427722848175503,0.007699811182174504,-0.0021730990682860677,0.002254646327273271,-0.0042963808797633314,-0.0002768017217995218,-0.008029566048486569,0.003517638407673986,0.031206524473013007,-0.0006509619745272287,-0.0004368848952000699,-0.003174667384025985,-0.002699029008138946
Valence,0.04606153365732077,0.02369271967659206,0.002932810422669745,0.016835684742455302,0.004731560111602215,0.01203812446090274,-0.028667914530547848,-0.057935949014846215,-0.0006509619745272287,0.08029580600730235,0.014474936403730692,-0.004062204564913978,0.006430122518604215
Tempo,0.013902579017498898,0.013180987579950714,0.007073718974065627,0.010510013649358559,-0.004247360225799886,0.017291476568872373,-0.019269625497381798,-0.025072742206663546,-0.0004368848952000699,0.014474936403730692,0.054898285713641776,-0.007494770378437893,0.0018969683258632034
Duration_ms,-0.007708323845671624,-0.0043958996701602485,0.002113066721544761,-0.004209463610592761,-0.0038035941660482095,-0.011397955182144192,0.0055856271744207,0.011136273806846972,-0.003174667384025985,-0.004062204564913978,-0.007494770378437893,0.015582271714336427,-0.0005504045727219906
Time_Signature,0.00949780007826551,0.00366080710626785,0.0016935813327565914,0.0038320974547339697,-0.006245043616177642,0.003722260378356782,-0.005171931563387163,-0.01512634748727879,-0.002699029008138946,0.006430122518604215,0.0018969683258632034,-0.0005504045727219906,0.012731297911710302
